        Time          VdatE          VdatN          VdatZ         BlerrE         BlerrN         BlerrZ      VelocityE      VelocityN      VelocityZ  DisplacementE  DisplacementN  DisplacementZ
      51.500 -0.3157790E-04 -0.6528057E-04 -0.3309950E-04  0.4335948E-07  0.2472242E-06  0.6773754E-07 -0.3162126E-04 -0.6552779E-04 -0.3316723E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00
      51.600 -0.2778942E-04 -0.6184114E-04 -0.2892706E-04  0.4397848E-07  0.2469280E-06  0.6816348E-07 -0.2783340E-04 -0.6208806E-04 -0.2899522E-04 -0.2783340E-05 -0.6208806E-05 -0.2899522E-05
      51.700 -0.2425579E-04 -0.5740088E-04 -0.2462664E-04  0.4459748E-07  0.2466317E-06  0.6858942E-07 -0.2430038E-04 -0.5764751E-04 -0.2469523E-04 -0.5213378E-05 -0.1197356E-04 -0.5369046E-05
      51.800 -0.2048022E-04 -0.5084310E-04 -0.2004550E-04  0.4521648E-07  0.2463355E-06  0.6901536E-07 -0.2052544E-04 -0.5108944E-04 -0.2011452E-04 -0.7265922E-05 -0.1708250E-04 -0.7380497E-05
      51.900 -0.1836717E-04 -0.4685904E-04 -0.1868713E-04  0.4583548E-07  0.2460393E-06  0.6944130E-07 -0.1841301E-04 -0.4710508E-04 -0.1875657E-04 -0.9107223E-05 -0.2179301E-04 -0.9256154E-05
      52.000 -0.1448522E-04 -0.4563010E-04 -0.1493833E-04  0.4645449E-07  0.2457431E-06  0.6986724E-07 -0.1453167E-04 -0.4587585E-04 -0.1500819E-04 -0.1056039E-04 -0.2638059E-04 -0.1075697E-04
      52.100 -0.1322663E-04 -0.4518595E-04 -0.1386565E-04  0.4707349E-07  0.2454468E-06  0.7029319E-07 -0.1327370E-04 -0.4543139E-04 -0.1393595E-04 -0.1188776E-04 -0.3092373E-04 -0.1215057E-04
      52.200 -0.1030951E-04 -0.4068363E-04 -0.1138712E-04  0.4769249E-07  0.2451506E-06  0.7071913E-07 -0.1035720E-04 -0.4092878E-04 -0.1145784E-04 -0.1292348E-04 -0.3501661E-04 -0.1329635E-04
      52.300 -0.7430880E-05 -0.3700142E-04 -0.8388228E-05  0.4831149E-07  0.2448544E-06  0.7114507E-07 -0.7479191E-05 -0.3724627E-04 -0.8459373E-05 -0.1367140E-04 -0.3874124E-04 -0.1414229E-04
      52.400 -0.3189835E-05 -0.3571613E-04 -0.4827677E-05  0.4893049E-07  0.2445582E-06  0.7157101E-07 -0.3238766E-05 -0.3596069E-04 -0.4899248E-05 -0.1399528E-04 -0.4233731E-04 -0.1463221E-04
      52.500 -0.2995870E-05 -0.3394659E-04 -0.1829238E-05  0.4954950E-07  0.2442619E-06  0.7199695E-07 -0.3045419E-05 -0.3419085E-04 -0.1901235E-05 -0.1429982E-04 -0.4575639E-04 -0.1482234E-04
      52.600 -0.2713510E-05 -0.3341521E-04 -0.4353841E-05  0.5016850E-07  0.2439657E-06  0.7242289E-07 -0.2763679E-05 -0.3365918E-04 -0.4426264E-05 -0.1457619E-04 -0.4912231E-04 -0.1526496E-04
      52.700  0.7269681E-06 -0.3193232E-04 -0.4755098E-05  0.5078750E-07  0.2436695E-06  0.7284883E-07  0.6761806E-06 -0.3217599E-04 -0.4827947E-05 -0.1450857E-04 -0.5233991E-04 -0.1574776E-04
      52.800  0.2090217E-05 -0.3098621E-04 -0.4512799E-05  0.5140650E-07  0.2433733E-06  0.7327477E-07  0.2038811E-05 -0.3122958E-04 -0.4586074E-05 -0.1430469E-04 -0.5546287E-04 -0.1620637E-04
      52.900  0.1747013E-05 -0.3237638E-04 -0.3816852E-05  0.5202550E-07  0.2430771E-06  0.7370071E-07  0.1694988E-05 -0.3261946E-04 -0.3890552E-05 -0.1413519E-04 -0.5872481E-04 -0.1659542E-04
      53.000  0.1625237E-05 -0.3179053E-04 -0.5095563E-05  0.5264451E-07  0.2427808E-06  0.7412666E-07  0.1572593E-05 -0.3203331E-04 -0.5169689E-05 -0.1397793E-04 -0.6192814E-04 -0.1711239E-04
      53.100  0.9517301E-06 -0.3183573E-04 -0.7729867E-05  0.5326351E-07  0.2424846E-06  0.7455260E-07  0.8984666E-06 -0.3207822E-04 -0.7804419E-05 -0.1388808E-04 -0.6513597E-04 -0.1789283E-04
      53.200  0.2525035E-05 -0.3083650E-04 -0.7637527E-05  0.5388251E-07  0.2421884E-06  0.7497854E-07  0.2471152E-05 -0.3107869E-04 -0.7712506E-05 -0.1364097E-04 -0.6824384E-04 -0.1866408E-04
      53.300  0.4612609E-05 -0.2656992E-04 -0.7901637E-05  0.5450151E-07  0.2418922E-06  0.7540448E-07  0.4558107E-05 -0.2681181E-04 -0.7977042E-05 -0.1318516E-04 -0.7092502E-04 -0.1946179E-04
      53.400  0.7378743E-05 -0.2599689E-04 -0.8359551E-05  0.5512051E-07  0.2415959E-06  0.7583042E-07  0.7323623E-05 -0.2623849E-04 -0.8435381E-05 -0.1245279E-04 -0.7354887E-04 -0.2030533E-04
      53.500  0.7674865E-05 -0.2509686E-04 -0.5027056E-05  0.5573952E-07  0.2412997E-06  0.7625636E-07  0.7619126E-05 -0.2533816E-04 -0.5103313E-05 -0.1169088E-04 -0.7608268E-04 -0.2081566E-04
      53.600  0.9591824E-05 -0.2208597E-04 -0.4872384E-05  0.5635852E-07  0.2410035E-06  0.7668230E-07  0.9535465E-05 -0.2232698E-04 -0.4949066E-05 -0.1073733E-04 -0.7831538E-04 -0.2131056E-04
      53.700  0.1052892E-04 -0.1959565E-04 -0.4669920E-05  0.5697752E-07  0.2407073E-06  0.7710824E-07  0.1047194E-04 -0.1983636E-04 -0.4747028E-05 -0.9690140E-05 -0.8029901E-04 -0.2178527E-04
      53.800  0.9417004E-05 -0.1881263E-04 -0.2359801E-05  0.5759652E-07  0.2404111E-06  0.7753419E-07  0.9359407E-05 -0.1905304E-04 -0.2437335E-05 -0.8754200E-05 -0.8220432E-04 -0.2202900E-04
      53.900  0.8369633E-05 -0.1945327E-04 -0.3061704E-05  0.5821552E-07  0.2401148E-06  0.7796013E-07  0.8311418E-05 -0.1969338E-04 -0.3139664E-05 -0.7923058E-05 -0.8417366E-04 -0.2234297E-04
      54.000  0.7371666E-05 -0.1918875E-04 -0.4338242E-05  0.5883453E-07  0.2398186E-06  0.7838607E-07  0.7312831E-05 -0.1942857E-04 -0.4416628E-05 -0.7191775E-05 -0.8611651E-04 -0.2278463E-04
      54.100  0.6548923E-05 -0.2100801E-04 -0.5072987E-05  0.5945353E-07  0.2395224E-06  0.7881201E-07  0.6489470E-05 -0.2124753E-04 -0.5151799E-05 -0.6542828E-05 -0.8824127E-04 -0.2329981E-04
      54.200  0.4425561E-05 -0.2022456E-04 -0.6867472E-05  0.6007253E-07  0.2392262E-06  0.7923795E-07  0.4365488E-05 -0.2046379E-04 -0.6946710E-05 -0.6106279E-05 -0.9028765E-04 -0.2399448E-04
      54.300  0.1890325E-05 -0.2107860E-04 -0.6590009E-05  0.6069153E-07  0.2389299E-06  0.7966389E-07  0.1829633E-05 -0.2131753E-04 -0.6669673E-05 -0.5923316E-05 -0.9241940E-04 -0.2466145E-04
      54.400 -0.2311378E-06 -0.1994140E-04 -0.7002568E-05  0.6131053E-07  0.2386337E-06  0.8008983E-07 -0.2924483E-06 -0.2018003E-04 -0.7082658E-05 -0.5952561E-05 -0.9443740E-04 -0.2536971E-04
      54.500  0.2539755E-05 -0.2062592E-04 -0.5194485E-05  0.6192954E-07  0.2383375E-06  0.8051577E-07  0.2477826E-05 -0.2086426E-04 -0.5275001E-05 -0.5704778E-05 -0.9652383E-04 -0.2589721E-04
      54.600  0.1548674E-05 -0.2073172E-04 -0.5254295E-05  0.6254854E-07  0.2380413E-06  0.8094171E-07  0.1486125E-05 -0.2096976E-04 -0.5335237E-05 -0.5556165E-05 -0.9862080E-04 -0.2643074E-04
      54.700 -0.1011584E-05 -0.2013124E-04 -0.5800658E-05  0.6316754E-07  0.2377450E-06  0.8136766E-07 -0.1074752E-05 -0.2036899E-04 -0.5882026E-05 -0.5663641E-05 -0.1006577E-03 -0.2701894E-04
      54.800 -0.1382926E-05 -0.2044413E-04 -0.5855804E-05  0.6378654E-07  0.2374488E-06  0.8179360E-07 -0.1446713E-05 -0.2068158E-04 -0.5937597E-05 -0.5808312E-05 -0.1027259E-03 -0.2761270E-04
      54.900 -0.1339985E-05 -0.2267127E-04 -0.7334627E-05  0.6440554E-07  0.2371526E-06  0.8221954E-07 -0.1404391E-05 -0.2290842E-04 -0.7416847E-05 -0.5948751E-05 -0.1050167E-03 -0.2835438E-04
      55.000 -0.1224296E-06 -0.2106597E-04 -0.5802391E-05  0.6502455E-07  0.2368564E-06  0.8264548E-07 -0.1874541E-06 -0.2130283E-04 -0.5885036E-05 -0.5967496E-05 -0.1071470E-03 -0.2894289E-04
      55.100 -0.2795203E-07 -0.1912126E-04 -0.4812637E-05  0.6564355E-07  0.2365602E-06  0.8307142E-07 -0.9359558E-07 -0.1935782E-04 -0.4895709E-05 -0.5976856E-05 -0.1090828E-03 -0.2943246E-04
      55.200 -0.1829667E-05 -0.1937715E-04 -0.4770103E-05  0.6626255E-07  0.2362639E-06  0.8349736E-07 -0.1895930E-05 -0.1961341E-04 -0.4853601E-05 -0.6166449E-05 -0.1110441E-03 -0.2991782E-04
      55.300 -0.1207765E-05 -0.2117609E-04 -0.2546863E-05  0.6688155E-07  0.2359677E-06  0.8392330E-07 -0.1274647E-05 -0.2141206E-04 -0.2630787E-05 -0.6293914E-05 -0.1131853E-03 -0.3018090E-04
      55.400 -0.1226082E-05 -0.2054740E-04 -0.4367055E-05  0.6750055E-07  0.2356715E-06  0.8434924E-07 -0.1293583E-05 -0.2078308E-04 -0.4451405E-05 -0.6423272E-05 -0.1152636E-03 -0.3062604E-04
      55.500  0.2473908E-05 -0.1859098E-04 -0.1113249E-05  0.6811956E-07  0.2353753E-06  0.8477519E-07  0.2405788E-05 -0.1882636E-04 -0.1198025E-05 -0.6182693E-05 -0.1171463E-03 -0.3074584E-04
      55.600  0.1367965E-05 -0.1627486E-04  0.2189223E-05  0.6873856E-07  0.2350790E-06  0.8520113E-07  0.1299226E-05 -0.1650994E-04  0.2104022E-05 -0.6052771E-05 -0.1187973E-03 -0.3053544E-04
      55.700  0.4258332E-05 -0.1468741E-04  0.1641478E-05  0.6935756E-07  0.2347828E-06  0.8562707E-07  0.4188974E-05 -0.1492219E-04  0.1555850E-05 -0.5633873E-05 -0.1202895E-03 -0.3037985E-04
      55.800  0.1206858E-05 -0.1277811E-04  0.1650243E-05  0.6997656E-07  0.2344866E-06  0.8605301E-07  0.1136881E-05 -0.1301260E-04  0.1564190E-05 -0.5520185E-05 -0.1215907E-03 -0.3022343E-04
      55.900  0.1685267E-05 -0.1197765E-04  0.8525557E-06  0.7059556E-07  0.2341904E-06  0.8647895E-07  0.1614672E-05 -0.1221184E-04  0.7660768E-06 -0.5358718E-05 -0.1228119E-03 -0.3014683E-04
      56.000  0.1656858E-05 -0.1136838E-04 -0.3023911E-06  0.7121457E-07  0.2338941E-06  0.8690489E-07  0.1585643E-05 -0.1160227E-04 -0.3892960E-06 -0.5200153E-05 -0.1239721E-03 -0.3018576E-04
      56.100  0.8354066E-06 -0.1119775E-04 -0.1941280E-05  0.7183357E-07  0.2335979E-06  0.8733083E-07  0.7635731E-06 -0.1143135E-04 -0.2028611E-05 -0.5123796E-05 -0.1251153E-03 -0.3038862E-04
      56.200  0.6911164E-06 -0.1380494E-04 -0.1993790E-05  0.7245257E-07  0.2333017E-06  0.8775677E-07  0.6186638E-06 -0.1403824E-04 -0.2081547E-05 -0.5061930E-05 -0.1265191E-03 -0.3059677E-04
      56.300 -0.4136581E-06 -0.1397727E-04 -0.4268472E-05  0.7307157E-07  0.2330055E-06  0.8818271E-07 -0.4867297E-06 -0.1421028E-04 -0.4356655E-05 -0.5110603E-05 -0.1279401E-03 -0.3103244E-04
      56.400 -0.3281489E-05 -0.1197064E-04 -0.3576575E-05  0.7369057E-07  0.2327093E-06  0.8860866E-07 -0.3355180E-05 -0.1220335E-04 -0.3665184E-05 -0.5446121E-05 -0.1291605E-03 -0.3139895E-04
      56.500 -0.6961702E-05 -0.1152370E-04 -0.3629565E-05  0.7430958E-07  0.2324130E-06  0.8903460E-07 -0.7036012E-05 -0.1175611E-04 -0.3718599E-05 -0.6149722E-05 -0.1303361E-03 -0.3177081E-04
      56.600 -0.8263918E-05 -0.1208820E-04 -0.3015995E-05  0.7492858E-07  0.2321168E-06  0.8946054E-07 -0.8338846E-05 -0.1232031E-04 -0.3105455E-05 -0.6983606E-05 -0.1315681E-03 -0.3208136E-04
      56.700 -0.7955304E-05 -0.1022951E-04 -0.5547333E-05  0.7554758E-07  0.2318206E-06  0.8988648E-07 -0.8030851E-05 -0.1046133E-04 -0.5637219E-05 -0.7786692E-05 -0.1326142E-03 -0.3264508E-04
      56.800 -0.9240428E-05 -0.1062195E-04 -0.7274437E-05  0.7616658E-07  0.2315244E-06  0.9031242E-07 -0.9316595E-05 -0.1085348E-04 -0.7364750E-05 -0.8718351E-05 -0.1336996E-03 -0.3338156E-04
      56.900 -0.9395713E-05 -0.8487441E-05 -0.8361749E-05  0.7678558E-07  0.2312281E-06  0.9073836E-07 -0.9472498E-05 -0.8718669E-05 -0.8452487E-05 -0.9665601E-05 -0.1345715E-03 -0.3422681E-04
      57.000 -0.1179991E-04 -0.8107465E-05 -0.1039272E-04  0.7740459E-07  0.2309319E-06  0.9116430E-07 -0.1187731E-04 -0.8338396E-05 -0.1048389E-04 -0.1085333E-04 -0.1354053E-03 -0.3527519E-04
      57.100 -0.1371887E-04 -0.1071834E-04 -0.1367381E-04  0.7802359E-07  0.2306357E-06  0.9159024E-07 -0.1379690E-04 -0.1094897E-04 -0.1376540E-04 -0.1223302E-04 -0.1365002E-03 -0.3665173E-04
      57.200 -0.1510305E-04 -0.9087724E-05 -0.1375815E-04  0.7864259E-07  0.2303395E-06  0.9201619E-07 -0.1518170E-04 -0.9318063E-05 -0.1385017E-04 -0.1375119E-04 -0.1374320E-03 -0.3803675E-04
      57.300 -0.1443717E-04 -0.7759644E-05 -0.1431058E-04  0.7926159E-07  0.2300433E-06  0.9244213E-07 -0.1451643E-04 -0.7989688E-05 -0.1440303E-04 -0.1520283E-04 -0.1382310E-03 -0.3947705E-04
      57.400 -0.1726284E-04 -0.6830517E-05 -0.1446148E-04  0.7988059E-07  0.2297470E-06  0.9286807E-07 -0.1734272E-04 -0.7060264E-05 -0.1455435E-04 -0.1693711E-04 -0.1389370E-03 -0.4093249E-04
      57.500 -0.1892029E-04 -0.6480916E-05 -0.1395965E-04  0.8049960E-07  0.2294508E-06  0.9329401E-07 -0.1900079E-04 -0.6710367E-05 -0.1405294E-04 -0.1883719E-04 -0.1396080E-03 -0.4233778E-04
      57.600 -0.1923792E-04 -0.6301191E-05 -0.1313792E-04  0.8111860E-07  0.2291546E-06  0.9371995E-07 -0.1931903E-04 -0.6530346E-05 -0.1323164E-04 -0.2076909E-04 -0.1402611E-03 -0.4366095E-04
      57.700 -0.1913687E-04 -0.4900169E-05 -0.1224087E-04  0.8173760E-07  0.2288584E-06  0.9414589E-07 -0.1921861E-04 -0.5129027E-05 -0.1233502E-04 -0.2269095E-04 -0.1407740E-03 -0.4489445E-04
      57.800 -0.1771921E-04 -0.3191861E-05 -0.1012754E-04  0.8235660E-07  0.2285621E-06  0.9457183E-07 -0.1780157E-04 -0.3420423E-05 -0.1022211E-04 -0.2447111E-04 -0.1411160E-03 -0.4591666E-04
      57.900 -0.1750952E-04 -0.3289399E-05 -0.1240599E-04  0.8297560E-07  0.2282659E-06  0.9499777E-07 -0.1759249E-04 -0.3517665E-05 -0.1250099E-04 -0.2623036E-04 -0.1414678E-03 -0.4716676E-04
      58.000 -0.1976654E-04 -0.3511934E-05 -0.1290052E-04  0.8359461E-07  0.2279697E-06  0.9542372E-07 -0.1985014E-04 -0.3739903E-05 -0.1299594E-04 -0.2821537E-04 -0.1418418E-03 -0.4846635E-04
      58.100 -0.2145298E-04 -0.4654181E-05 -0.1231497E-04  0.8421361E-07  0.2276735E-06  0.9584966E-07 -0.2153719E-04 -0.4881854E-05 -0.1241082E-04 -0.3036909E-04 -0.1423300E-03 -0.4970744E-04
      58.200 -0.1881136E-04 -0.4506623E-06 -0.1062682E-04  0.8483261E-07  0.2273772E-06  0.9627560E-07 -0.1889619E-04 -0.6780395E-06 -0.1072309E-04 -0.3225871E-04 -0.1423978E-03 -0.5077975E-04
      58.300 -0.1725222E-04  0.1839014E-05 -0.7856195E-05  0.8545161E-07  0.2270810E-06  0.9670154E-07 -0.1733768E-04  0.1611933E-05 -0.7952897E-05 -0.3399248E-04 -0.1422366E-03 -0.5157503E-04
      58.400 -0.1817894E-04  0.3832111E-05 -0.5978789E-05  0.8607062E-07  0.2267848E-06  0.9712748E-07 -0.1826501E-04  0.3605326E-05 -0.6075917E-05 -0.3581898E-04 -0.1418760E-03 -0.5218263E-04
      58.500 -0.1617875E-04  0.7183989E-05 -0.4778685E-05  0.8668962E-07  0.2264886E-06  0.9755342E-07 -0.1626544E-04  0.6957500E-05 -0.4876239E-05 -0.3744552E-04 -0.1411803E-03 -0.5267025E-04
      58.600 -0.1446034E-04  0.7208518E-05 -0.3962052E-05  0.8730862E-07  0.2261924E-06  0.9797936E-07 -0.1454765E-04  0.6982325E-05 -0.4060032E-05 -0.3890028E-04 -0.1404820E-03 -0.5307625E-04
      58.700 -0.1171298E-04  0.1055465E-04 -0.1980120E-05  0.8792762E-07  0.2258961E-06  0.9840530E-07 -0.1180091E-04  0.1032876E-04 -0.2078525E-05 -0.4008038E-04 -0.1394492E-03 -0.5328411E-04
      58.800 -0.8747626E-05  0.1491835E-04 -0.1127293E-07  0.8854662E-07  0.2255999E-06  0.9883124E-07 -0.8836172E-05  0.1469275E-04 -0.1101042E-06 -0.4096399E-04 -0.1379799E-03 -0.5329512E-04
      58.900 -0.8823512E-05  0.1596340E-04  0.2447459E-06  0.8916563E-07  0.2253037E-06  0.9925719E-07 -0.8912678E-05  0.1573809E-04  0.1454888E-06 -0.4185526E-04 -0.1364061E-03 -0.5328057E-04
      59.000 -0.5737375E-05  0.1666097E-04  0.1163479E-05  0.8978463E-07  0.2250075E-06  0.9968313E-07 -0.5827160E-05  0.1643596E-04  0.1063796E-05 -0.4243798E-04 -0.1347625E-03 -0.5317419E-04
      59.100 -0.5126656E-05  0.1841592E-04 -0.3480842E-06  0.9040363E-07  0.2247112E-06  0.1001091E-06 -0.5217060E-05  0.1819120E-04 -0.4481933E-06 -0.4295968E-04 -0.1329434E-03 -0.5321901E-04
      59.200 -0.4357894E-05  0.2422112E-04  0.1196725E-05  0.9102263E-07  0.2244150E-06  0.1005350E-06 -0.4448917E-05  0.2399670E-04  0.1096190E-05 -0.4340457E-04 -0.1305437E-03 -0.5310939E-04
      59.300  0.1078400E-05  0.2777650E-04  0.3567058E-05  0.9164163E-07  0.2241188E-06  0.1009610E-06  0.9867584E-06  0.2755238E-04  0.3466097E-05 -0.4330590E-04 -0.1277885E-03 -0.5276278E-04
      59.400  0.2472455E-05  0.2898934E-04  0.5222771E-05  0.9226064E-07  0.2238226E-06  0.1013869E-06  0.2380194E-05  0.2876552E-04  0.5121384E-05 -0.4306788E-04 -0.1249119E-03 -0.5225064E-04
      59.500  0.5840547E-05  0.2968743E-04  0.9246823E-05  0.9287964E-07  0.2235263E-06  0.1018128E-06  0.5747667E-05  0.2946390E-04  0.9145011E-05 -0.4249311E-04 -0.1219655E-03 -0.5133614E-04
      59.600  0.6193347E-05  0.2925342E-04  0.1118695E-04  0.9349864E-07  0.2232301E-06  0.1022388E-06  0.6099848E-05  0.2903019E-04  0.1108471E-04 -0.4188313E-04 -0.1190625E-03 -0.5022767E-04
      59.700  0.8484978E-05  0.3002031E-04  0.1449375E-04  0.9411764E-07  0.2229339E-06  0.1026647E-06  0.8390860E-05  0.2979737E-04  0.1439109E-04 -0.4104404E-04 -0.1160828E-03 -0.4878856E-04
