        Time          VdatE          VdatN          VdatZ         BlerrE         BlerrN         BlerrZ      VelocityE      VelocityN      VelocityZ  DisplacementE  DisplacementN  DisplacementZ
      67.500 -0.4792513E-05 -0.6570637E-05 -0.1519361E-05  0.1577782E-07 -0.2422402E-09  0.2999878E-07 -0.4808291E-05 -0.6570394E-05 -0.1549360E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00
      67.600 -0.4668210E-05 -0.6408916E-05 -0.1647103E-05  0.1577979E-07 -0.2079654E-10  0.2974944E-07 -0.4683990E-05 -0.6408895E-05 -0.1676853E-05 -0.4683990E-06 -0.6408895E-06 -0.1676853E-06
      67.700 -0.4752907E-05 -0.6527695E-05 -0.1818846E-05  0.1578177E-07  0.2006471E-09  0.2950010E-07 -0.4768689E-05 -0.6527895E-05 -0.1848346E-05 -0.9452679E-06 -0.1293679E-05 -0.3525199E-06
      67.800 -0.4416605E-05 -0.6389274E-05 -0.1851588E-05  0.1578374E-07  0.4220907E-09  0.2925075E-07 -0.4432388E-05 -0.6389696E-05 -0.1880839E-05 -0.1388507E-05 -0.1932649E-05 -0.5406038E-06
      67.900 -0.4360302E-05 -0.6414653E-05 -0.1953331E-05  0.1578571E-07  0.6435343E-09  0.2900141E-07 -0.4376088E-05 -0.6415296E-05 -0.1982332E-05 -0.1826116E-05 -0.2574178E-05 -0.7388370E-06
      68.000 -0.4398999E-05 -0.6393332E-05 -0.2315073E-05  0.1578768E-07  0.8649780E-09  0.2875207E-07 -0.4414787E-05 -0.6394197E-05 -0.2343825E-05 -0.2267594E-05 -0.3213598E-05 -0.9732195E-06
      68.100 -0.4272696E-05 -0.6255011E-05 -0.2394816E-05  0.1578965E-07  0.1086422E-08  0.2850273E-07 -0.4288486E-05 -0.6256097E-05 -0.2423318E-05 -0.2696443E-05 -0.3839208E-05 -0.1215551E-05
      68.200 -0.4263394E-05 -0.6046490E-05 -0.2403558E-05  0.1579163E-07  0.1307865E-08  0.2825338E-07 -0.4279185E-05 -0.6047798E-05 -0.2431811E-05 -0.3124361E-05 -0.4443987E-05 -0.1458732E-05
      68.300 -0.4091091E-05 -0.6071669E-05 -0.2505300E-05  0.1579360E-07  0.1529309E-08  0.2800404E-07 -0.4106884E-05 -0.6073198E-05 -0.2533304E-05 -0.3535050E-05 -0.5051307E-05 -0.1712063E-05
      68.400 -0.3919788E-05 -0.5909948E-05 -0.2492043E-05  0.1579557E-07  0.1750752E-08  0.2775470E-07 -0.3935584E-05 -0.5911699E-05 -0.2519798E-05 -0.3928608E-05 -0.5642477E-05 -0.1964043E-05
      68.500 -0.3608485E-05 -0.5911827E-05 -0.2453785E-05  0.1579754E-07  0.1972196E-08  0.2750536E-07 -0.3624283E-05 -0.5913799E-05 -0.2481291E-05 -0.4291036E-05 -0.6233857E-05 -0.2212172E-05
